candidate_id,rank,score,reasoning,semantic_score,skill_score,experience_score,career_score,behavioral_score,location_score,education_score
CAND_0002025,1,0.6425,"Strong alignment with senior AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.2572,0.8377,1.0,0.935,0.9519,0.5,0.74
CAND_0005260,2,0.5706,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0758,0.8504,1.0,0.935,0.7454,0.85,0.725
CAND_0009024,3,0.5526,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0116,0.914,1.0,0.935,0.7208,0.7,0.725
CAND_0008425,4,0.5514,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.048,0.8337,1.0,0.985,0.7194,0.7,0.54
CAND_0007411,5,0.5506,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0652,0.856,1.0,0.935,0.5095,0.65,0.725
CAND_0006557,6,0.5387,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0149,0.877,1.0,0.9725,0.5664,0.65,0.62
CAND_0007460,7,0.5384,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0139,0.8818,0.9928,0.835,0.7229,1.0,0.53
CAND_0004972,8,0.5349,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0003,0.9206,1.0,0.785,0.7228,0.7,0.74
CAND_0006418,9,0.5327,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.013,0.7868,1.0,0.8975,0.8136,0.85,0.74
CAND_0009691,10,0.5313,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0061,0.8353,1.0,0.9275,0.7391,0.65,0.635
CAND_0007009,11,0.528,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0126,0.8774,1.0,0.6725,0.7867,1.0,0.635
CAND_0004402,12,0.5279,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0375,0.7302,1.0,0.8975,0.8217,0.7,0.74
CAND_0006354,13,0.5094,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0035,0.8771,0.9802,0.7775,0.5849,0.85,0.33
CAND_0003791,14,0.5033,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0055,0.8006,1.0,0.89,0.6948,0.15,0.54
CAND_0009837,15,0.5028,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.005,0.8112,0.9616,0.685,0.6823,1.0,0.7475
CAND_0005538,16,0.5027,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0491,0.6175,1.0,0.8375,0.8568,0.7,0.62
CAND_0008239,17,0.4994,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0164,0.7439,0.9231,0.835,0.8309,0.65,0.725
CAND_0000031,18,0.4968,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0075,0.7514,1.0,0.71,0.8077,0.85,0.435
CAND_0008202,19,0.4948,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0064,0.7518,1.0,0.8075,0.6099,0.5,0.725
CAND_0002344,20,0.4918,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0045,0.6945,0.9928,0.805,0.7278,0.7,0.725
CAND_0006567,21,0.4896,Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. No evidence of keyword stuffing.,0.0484,0.4426,1.0,0.9725,0.826,1.0,0.725
CAND_0007412,22,0.4895,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0036,0.6082,1.0,0.85,0.7587,1.0,0.74
CAND_0006850,23,0.4883,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0005,0.8845,0.8735,0.775,0.6721,0.7,0.315
CAND_0000666,24,0.4865,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0065,0.6948,1.0,0.9125,0.5675,0.5,0.515
CAND_0002120,25,0.4862,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0002,0.7201,1.0,0.785,0.8341,0.15,0.725
CAND_0005311,26,0.486,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0006,0.6837,1.0,0.7975,0.7243,0.7,0.62
CAND_0000165,27,0.485,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0007,0.8036,1.0,0.66,0.6479,0.3,0.725
CAND_0005269,28,0.4837,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0093,0.6666,1.0,0.835,0.6917,0.5,0.6425
CAND_0007567,29,0.4812,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0005,0.816,1.0,0.525,0.7514,0.65,0.46
CAND_0005649,30,0.4812,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.006,0.6222,1.0,0.8075,0.7252,0.85,0.6425
CAND_0006821,31,0.4795,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.003,0.7704,1.0,0.655,0.5601,0.7,0.53
CAND_0007994,32,0.4777,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0009,0.6217,1.0,0.9125,0.719,0.7,0.33
CAND_0001131,33,0.4765,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0003,0.6211,1.0,0.7975,0.6599,0.85,0.725
CAND_0003100,34,0.4752,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0133,0.7241,1.0,0.6075,0.5666,0.7,0.74
CAND_0008218,35,0.4749,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0051,0.7612,1.0,0.7025,0.5338,0.5,0.445
CAND_0007596,36,0.4743,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0015,0.6124,0.9716,0.8275,0.8226,0.7,0.62
CAND_0007052,37,0.4733,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0058,0.6467,1.0,0.7525,0.6631,1.0,0.33
CAND_0002037,38,0.472,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0062,0.6807,1.0,0.785,0.5858,0.5,0.525
CAND_0002793,39,0.4705,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0153,0.6915,1.0,0.575,0.7576,0.5,0.725
CAND_0008517,40,0.4662,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0013,0.6006,1.0,0.775,0.6388,1.0,0.445
CAND_0009516,41,0.4654,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0267,0.6639,1.0,0.6775,0.6986,0.15,0.62
CAND_0001707,42,0.4647,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0001,0.6081,1.0,0.7475,0.5963,1.0,0.5375
CAND_0008295,43,0.4639,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0006,0.513,1.0,0.785,0.8863,1.0,0.53
